BD0154_Youth_Club_A,NAM IS NULL OR NAM = '',3
BD0155_Club_House_A,NAM IS NULL OR NAM = '',3
BD0160_Welfare_Home_A,NAM IS NULL OR NAM = '',3
BD0161_Old_Folk_Home_A,NAM IS NULL OR NAM = '',3
BD0162_Handicapped_Home_A,NAM IS NULL OR NAM = '',3
BD0163_Orphanage_A,NAM IS NULL OR NAM = '',3
BD0170_Agricultural_Station_A,NAM IS NULL OR NAM = '',3
BD0180_Research_Station_Laboratory_A,NAM IS NULL OR NAM = '',3
BD0999_Other_Institutional_Building_A,NAM IS NULL OR NAM = '',3
BD0044_Rehabilitation_Centre_A,NAM IS NULL OR NAM = '',3
BD0020_Hospital_A,NAM IS NOT NULL AND NAM <> '',2
BD0021_Clinic_A,NAM IS NOT NULL AND NAM <> '',2
BD0030_Fire_And_Rescue_Station_A,NAM IS NOT NULL AND NAM <> '',2
BD0040_Police_Station_A,NAM IS NOT NULL AND NAM <> '',2
BD0200_Training_Centre_A,NAM IS NOT NULL AND NAM <> '',2
BD0042_Police_Cottage_and_Beat_A,NAM IS NOT NULL AND NAM <> '',2
BD0043_Detention_Centre_A,NAM IS NOT NULL AND NAM <> '',2
BD0045_Prison_A,NAM IS NOT NULL AND NAM <> '',2
BD0050_Army_Camp_A,NAM IS NOT NULL AND NAM <> '',2
BD0060_Government_Office_A,NAM IS NOT NULL AND NAM <> '',2
BD0061_Foreign_Diplomatic_Embassy_A,NAM IS NOT NULL AND NAM <> '',2
BD0070_Parliament_House_A,NAM IS NOT NULL AND NAM <> '',2
BD0071_State_Assembly_House_A,NAM IS NOT NULL AND NAM <> '',2
BD0072_Town_Hall_A,NAM IS NOT NULL AND NAM <> '',2
BD0080_Court_A,NAM IS NOT NULL AND NAM <> '',2
BD0090_Museum_A,NAM IS NOT NULL AND NAM <> '',2
BD0100_Science_Centre_A,NAM IS NOT NULL AND NAM <> '',2
BD0110_Art_Theatre_National_Theatre_A,NAM IS NOT NULL AND NAM <> '',2
BD0120_Library_A,NAM IS NOT NULL AND NAM <> '',2
BD0130_Memorial_A,NAM IS NOT NULL AND NAM <> '',2
BD0140_Palace_A,NAM IS NOT NULL AND NAM <> '',2
BD0150_Multi_Purpose_House_A,NAM IS NOT NULL AND NAM <> '',2
BD0151_Community_Hall_A,NAM IS NOT NULL AND NAM <> '',2
BD0152_Hostel_A,NAM IS NOT NULL AND NAM <> '',2
BD0153_Gallery_A,NAM IS NOT NULL AND NAM <> '',2
BD0154_Youth_Club_A,NAM IS NOT NULL AND NAM <> '',2
BD0155_Club_House_A,NAM IS NOT NULL AND NAM <> '',2
BD0160_Welfare_Home_A,NAM IS NOT NULL AND NAM <> '',2
BD0161_Old_Folk_Home_A,NAM IS NOT NULL AND NAM <> '',2
BD0162_Handicapped_Home_A,NAM IS NOT NULL AND NAM <> '',2
BD0163_Orphanage_A,NAM IS NOT NULL AND NAM <> '',2
BD0170_Agricultural_Station_A,NAM IS NOT NULL AND NAM <> '',2
BD0180_Research_Station_Laboratory_A,NAM IS NOT NULL AND NAM <> '',2
BD0999_Other_Institutional_Building_A,NAM IS NOT NULL AND NAM <> '',2
BD0044_Rehabilitation_Centre_A,NAM IS NOT NULL AND NAM <> '',2
BD0020_Hospital_P,NAM IS NULL OR NAM = '',4
BD0021_Clinic_P,NAM IS NULL OR NAM = '',4
BD0030_Fire_And_Rescue_Station_P,NAM IS NULL OR NAM = '',4
BD0040_Police_Station_P,NAM IS NULL OR NAM = '',4
BD0200_Training_Centre_P,NAM IS NULL OR NAM = '',4
BD0042_Police_Cottage_and_Beat_P,NAM IS NULL OR NAM = '',4
BD0043_Detention_Centre_P,NAM IS NULL OR NAM = '',4
BD0045_Prison_P,NAM IS NULL OR NAM = '',4
BD0050_Army_Camp_P,NAM IS NULL OR NAM = '',4
BD0060_Government_Office_P,NAM IS NULL OR NAM = '',4
BD0061_Foreign_Diplomatic_Embassy_P,NAM IS NULL OR NAM = '',4
BD0070_Parliament_House_P,NAM IS NULL OR NAM = '',4
BD0071_State_Assembly_House_P,NAM IS NULL OR NAM = '',4
BD0072_Town_Hall_P,NAM IS NULL OR NAM = '',4
BD0080_Court_P,NAM IS NULL OR NAM = '',4
BD0090_Museum_P,NAM IS NULL OR NAM = '',4
BD0100_Science_Centre_P,NAM IS NULL OR NAM = '',4
BD0110_Art_Theatre_National_Theatre_P,NAM IS NULL OR NAM = '',4
BD0120_Library_P,NAM IS NULL OR NAM = '',4
BD0130_Memorial_P,NAM IS NULL OR NAM = '',4
BD0140_Palace_P,NAM IS NULL OR NAM = '',4
BD0150_Multi_Purpose_House_P,NAM IS NULL OR NAM = '',4
BD0151_Community_Hall_P,NAM IS NULL OR NAM = '',4
